ShopIndex,Name,Class_Job,Price,IsCash,IsPackage,IsShow,Label,IconInfo,MenuNum,IsGift,ShopSort
111003101,PDW K101-Aqua Plus,0,900,1,0,1,0,0,0,1,2
111003102,PDW K101-Aqua Plus,0,4750,1,0,1,0,0,0,1,2
111003103,PDW K101-Aqua Plus,0,7450,1,0,1,0,0,0,1,2
111003104,PDW K101-Aqua Plus,0,10850,1,0,1,0,0,0,1,2
111003106,PDW K101-Aqua Plus,0,2400,1,0,1,0,0,0,1,2
111002801,(Old)PDW K101-Cute,0,900,1,0,1,0,0,0,1,2
111002802,(Old)PDW K101-Cute,0,4750,1,0,1,0,0,0,1,2
111002803,(Old)PDW K101-Cute,0,7450,1,0,1,0,0,0,1,2
111002804,(Old)PDW K101-Cute,0,10850,1,0,1,0,0,0,1,2
111002805,(Old)PDW K101-Cute,0,10850,1,0,1,0,0,0,1,2
111002806,(Old)PDW K101-Cute,0,2400,1,0,1,0,0,0,1,2
111002901,(Old)PDW K101-Cute Plus,0,900,1,0,1,0,0,0,1,2
111002902,(Old)PDW K101-Cute Plus,0,4750,1,0,1,0,0,0,1,2
111002903,(Old)PDW K101-Cute Plus,0,7450,1,0,1,0,0,0,1,2
111002904,(Old)PDW K101-Cute Plus,0,10850,1,0,1,0,0,0,1,2
111002905,(Old)PDW K101-Cute Plus,0,10850,1,0,1,0,0,0,1,2
111003201,Winter K1,0,500,1,0,1,0,0,0,1,9
111003202,Winter K1,0,2550,1,0,1,0,0,0,1,9
111003203,Winter K1,0,3950,1,0,1,0,0,0,1,9
111003204,Winter K1,0,5750,1,0,1,0,0,0,1,9
111003206,Winter K1,0,13000,1,0,1,0,0,0,1,9
111003301,K1 Rail(NewBase),0,1100,0,0,1,0,0,0,1,9
111003302,K1 Rail(NewBase),0,6200,0,0,1,0,0,0,1,9
111003303,K1 Rail(NewBase),0,9900,0,0,1,0,0,0,1,9
111003304,K1 Rail(NewBase),0,16500,0,0,1,0,0,0,1,9
111003306,K1 Rail(NewBase),0,39600,0,0,1,0,0,0,1,9
111003501,M4a1(NewBase),0,1700,0,0,1,0,0,0,1,9
111003502,M4a1(NewBase),0,9600,0,0,1,0,0,0,1,9
111003503,M4a1(NewBase),0,15300,0,0,1,0,0,0,1,9
111003504,M4a1(NewBase),0,25500,0,0,1,0,0,0,1,9
111003506,M4a1(NewBase),0,61200,0,0,1,0,0,0,1,9
111003701,M4a1-Dsnake(Achieve),0,2600,0,0,1,0,0,0,0,9
111003702,M4a1-Dsnake(Achieve),0,14600,0,0,1,0,0,0,0,9
111003703,M4a1-Dsnake(Achieve),0,23400,0,0,1,0,0,0,0,9
111003704,M4a1-Dsnake(Achieve),0,39000,0,0,1,0,0,0,0,9
111003706,M4a1-Dsnake(Achieve),0,93600,0,0,1,0,0,0,0,9
111003801,M4a1-Dsnake(Cash),0,750,1,0,1,0,0,0,1,9
111003802,M4a1-Dsnake(Cash),0,3850,1,0,1,0,0,0,1,9
111003803,M4a1-Dsnake(Cash),0,6050,1,0,1,0,0,0,1,9
111003804,M4a1-Dsnake(Cash),0,8850,1,0,1,0,0,0,1,9
111003806,M4a1-Dsnake(Cash),0,19850,1,0,1,0,0,0,1,9
111004001,XK2(NewBase),0,1300,0,0,1,0,0,0,1,9
111004002,XK2(NewBase),0,7300,0,0,1,0,0,0,1,9
111004003,XK2(NewBase),0,11700,0,0,1,0,0,0,1,9
111004004,XK2(NewBase),0,19500,0,0,1,0,0,0,1,9
111004006,XK2(NewBase),0,46800,0,0,1,0,0,0,1,9
111004101,PDW K101(NewBase),0,1600,0,0,1,0,0,0,1,9
111004102,PDW K101(NewBase),0,9000,0,0,1,0,0,0,1,9
111004103,PDW K101(NewBase),0,14400,0,0,1,0,0,0,1,9
111004104,PDW K101(NewBase),0,24000,0,0,1,0,0,0,1,9
111004106,PDW K101(NewBase),0,57600,0,0,1,0,0,0,1,9
111004301,Azure PDW K101(Achieve),0,2400,0,0,1,0,0,0,0,9
111004302,Azure PDW K101(Achieve),0,13500,0,0,1,0,0,0,0,9
111004303,Azure PDW K101(Achieve),0,21600,0,0,1,0,0,0,0,9
111004304,Azure PDW K101(Achieve),0,36000,0,0,1,0,0,0,0,9
111004306,Azure PDW K101(Achieve),0,86400,0,0,1,0,0,0,0,9
111004401,Azure PDW K101(Cash),0,700,1,0,1,0,0,0,1,9
111004402,Azure PDW K101(Cash),0,3550,1,0,1,0,0,0,1,9
111004403,Azure PDW K101(Cash),0,5600,1,0,1,0,0,0,1,9
111004404,Azure PDW K101(Cash),0,8150,1,0,1,0,0,0,1,9
111004406,Azure PDW K101(Cash),0,18350,1,0,1,0,0,0,1,9
111004501,PSD XR(NewBase),0,1600,0,0,1,0,0,0,1,9
111004502,PSD XR(NewBase),0,9000,0,0,1,0,0,0,1,9
111004503,PSD XR(NewBase),0,14400,0,0,1,0,0,0,1,9
111004504,PSD XR(NewBase),0,24000,0,0,1,0,0,0,1,9
111004506,PSD XR(NewBase),0,57600,0,0,1,0,0,0,1,9
111004801,AK 74u(NewBase),0,1300,0,0,1,0,0,0,1,9
111004802,AK 74u(NewBase),0,7300,0,0,1,0,0,0,1,9
111004803,AK 74u(NewBase),0,11700,0,0,1,0,0,0,1,9
111004804,AK 74u(NewBase),0,19500,0,0,1,0,0,0,1,9
111004806,AK 74u(NewBase),0,46800,0,0,1,0,0,0,1,9
111004901,FAMAS-F1(NewBase),0,1600,0,0,1,0,0,0,1,9
111004902,FAMAS-F1(NewBase),0,9000,0,0,1,0,0,0,1,9
111004903,FAMAS-F1(NewBase),0,14400,0,0,1,0,0,0,1,9
111004904,FAMAS-F1(NewBase),0,24000,0,0,1,0,0,0,1,9
111004906,FAMAS-F1(NewBase),0,57600,0,0,1,0,0,0,1,9
112000601,AK47(NewBase),0,1700,0,0,1,0,0,0,1,9
112000602,AK47(NewBase),0,9600,0,0,1,0,0,0,1,9
112000603,AK47(NewBase),0,15300,0,0,1,0,0,0,1,9
112000604,AK47(NewBase),0,25500,0,0,1,0,0,0,1,9
112000606,AK47(NewBase),0,61200,0,0,1,0,0,0,1,9
113000901,M3TC(NewBase),0,1400,0,0,1,0,0,0,1,9
113000902,M3TC(NewBase),0,7900,0,0,1,0,0,0,1,9
113000903,M3TC(NewBase),0,12600,0,0,1,0,0,0,1,9
113000904,M3TC(NewBase),0,21000,0,0,1,0,0,0,1,9
113000906,M3TC(NewBase),0,50400,0,0,1,0,0,0,1,9
113001001,Lizard M3TC(Achieve),0,2100,0,0,1,0,0,0,0,9
113001002,Lizard M3TC(Achieve),0,11800,0,0,1,0,0,0,0,9
113001003,Lizard M3TC(Achieve),0,18900,0,0,1,0,0,0,0,9
113001004,Lizard M3TC(Achieve),0,31500,0,0,1,0,0,0,0,9
113001006,Lizard M3TC(Achieve),0,75600,0,0,1,0,0,0,0,9
113001101,Lizard M3TC(Cash),0,600,1,0,1,0,0,0,1,9
